id,full_name,other_names,place_of_birth,place_of_death,year_of_birth,year_of_death,centres_of_activity,rkd_link,image
1,UNKNOWN,,UNKNOWN,UNKNOWN,,,,,
2,"ANTHONISZ, Aert","HENRIXCZ, Aert | ANTUM, Aert van",ANTWERP,AMSTERDAM,1580,1620,Amsterdam | Mechelen,https://rkd.nl/explore/artists/2053,
3,"ARENTZ, Arent","CABEL, Arent | KABEL, Arent",AMSTERDAM,AMSTERDAM,1585,1631,Amsterdam,https://rkd.nl/explore/artists/2375,
4,"AST, Balthasar van der","ASCH, Balthus vander",MIDDELBURG,DELFT,1593,1657,Middelburg | Bergen op Zoom | Utrecht | Delft,https://rkd.nl/explore/artists/2800,
5,"AVERCAMP, Hendrick","STOM, Henricus de | STOMME VAN CAMPEN, de | STOMME VAN KAMPEN, de ",AMSTERDAM,KAMPEN,1585,1643,Kampen | Amsterdam,https://rkd.nl/explore/artists/3065,
6,"BACKER, Jacob","BAKKER, Jacob | BACQUER, Jacob",HARLINGEN,AMSTERDAM,1608,1651,Amsterdam | Leeuwarden | Vlissingen,https://rkd.nl/nl/explore/artists/3396,
7,"BAILLY, David",,LEIDEN,LEIDEN,1584,1657,Leiden | Amsterdam | Oldenburg | Hamburg | Frankfurt | Venice | Leiden | Copenhagen | Rome,https://rkd.nl/explore/artists/3626,
8,"BAKHUYSEN, Ludolf","BAKHUIZEN, Ludolf",EMDEN,AMSTERDAM,1630,1708,Emden | Amsterdam | Hoorn ,https://rkd.nl/explore/artists/3414,
9,"BEERSTRATEN, Jan",BEERSTRAATEN,AMSTERDAM,AMSTERDAM,1622,1666,Amsterdam | Utrecht | Friesland,https://rkd.nl/explore/artists/5894,
10,"BERCHEM, Claes","BERCHEM, Nicolaes | VAN HAARLEM, Claasz | PIETERSEN, Claes",HAARLEM,AMSTERDAM,1621,1683,Haarlem | Amsterdam | Italy,https://rkd.nl/explore/artists/6727,
11,"BIJLERT, Jan van","BILARDO, Giovanni | BILER, Jan van | BYLERT, Jan van",UTRECHT,UTRECHT,1597,1671,Utrecht | Paris | Rome | Amsterdam,https://rkd.nl/explore/artists/8324,
12,"BLOCKLANDT VAN MONTFOORT, Anthonie","BLOCKLAND, Anthony van",MONTFOORT,UTRECHT,1533,1583,Antwerp | Montfoort | Delft| Rome | Utrecht,https://rkd.nl/explore/artists/9099,
13,"BLOEMAERT, Abraham",,GORINCHEM,UTRECHT,1566,1651,Utrecht | Paris | Fontainebleu | Amsterdam,https://rkd.nl/explore/artists/9120,
14,"BOL, Cornelis",,ANTWERP,HAARLEM,1589,1666,Antwerp | Paris | London | Haarlem ,https://rkd.nl/explore/artists/10079,
15,"BOL, Ferdinand","BOEL, Ferdinand",DORDRECHT,AMSTERDAM,1616,1680,Dordrecht | Amsterdam,https://rkd.nl/explore/artists/10080,
16,"BORCH, Gerard ter","TERBORCH, Gerard (II)",ZWOLLE,DEVENTER,1617,1681,Zwolle | Amsterdam | Haarlem | London | Antwerp | Madrid | Deventer | The Hague,https://rkd.nl/explore/artists/10682,
17,"BORCH, Jan ter","TERBORCH, Jan",UNKNOWN,UNKNOWN,,,Utrecht | Zwolle,https://rkd.nl/explore/artists/10686,
18,"BORCULO, Nicolaes van","BARIOL, Nicolaes | BROCULO, Nicolaes | BORCKULOO, Nicolaes | BORCKELOO, Nicolaes",UTRECHT,UTRECHT,1575,1643,Rome | Utrecht,https://rkd.nl/explore/artists/10706,
19,"BOSSCHAERT, Ambrosius",,ANTWERP,THE HAGUE,1573,1621,Middelburg | Amsterdam | Utrecht,https://rkd.nl/explore/artists/11147,
20,"BRAMER, Leonaert","DELLE NOTTI, Leonardo | DELLE NOTTE, Leonardo | NESTELGHAT | BRABER, Leendert",DELFT,DELFT,1596,1674,Rome | Delft ,https://rkd.nl/explore/artists/11984,
21,"BREEN, Adam van","BREEM, Adam van | BRECHT, Adam van",AMSTERDAM,AMSTERDAM,1585,1642,Amsterdan | the Hague,https://rkd.nl/explore/artists/12287,
22,"BRIL, Paulus","BRIL, Paul | BRILLI, Paul | PRÜLL, Paul",BREDA,ROME,1553,1626,Antwerp | Rome,https://rkd.nl/explore/artists/12590,
23,"BRUEGHEL I, Jan","BRUEGHEL, Hans | FLUWELEN BRUEGEL",UNKNOWN,UNKNOWN,,,,,
24,"BUNDEL, Willem van den",,UNKNOWN,UNKNOWN,,,,,
25,"BUYTEWECH, Willem Pietersz",,UNKNOWN,UNKNOWN,,,,,
26,"CAMPEN, Jacob van",,UNKNOWN,UNKNOWN,,,,,
27,"CLAESZ (Suycker), Reyer",,UNKNOWN,UNKNOWN,,,,,
28,"CLAESZ, Pieter",,UNKNOWN,UNKNOWN,,,,,
29,"CODDE, Pieter",,UNKNOWN,UNKNOWN,,,,,
30,"COLIJNS, David",,UNKNOWN,UNKNOWN,,,,,
31,"CRABETH (II), Wouter Pietersz",,UNKNOWN,UNKNOWN,,,,,
32,"CUYP, Albert",,UNKNOWN,UNKNOWN,,,,,
33,"CUYP, Jacob Gerritsz",,UNKNOWN,UNKNOWN,,,,,
34,"DE GREBBER, Frans",DE GREBBER | Frans Pietersz.,Haarlem,Haarlem,1573,1649,Haarlem | Antwerp,https://rkd.nl/explore/artists/33499,
35,"DE KEYSER, Thomas",,UNKNOWN,UNKNOWN,,,,,
36,"DE VRIES, Abraham",,UNKNOWN,UNKNOWN,,,,,
37,"DIJCK, Floris Claesz van",,UNKNOWN,UNKNOWN,,,,,
38,"DROOCHSLOOT, Joost Cornelisz",,UNKNOWN,UNKNOWN,,,,,
39,"DUBUS, Mathieu",,UNKNOWN,UNKNOWN,,,,,
40,"DUCK, Jacob",,UNKNOWN,UNKNOWN,,,,,
41,"DUJARDIN, Karel",,UNKNOWN,UNKNOWN,,,,,
42,"DUYSTER, Willem Cornelisz",,UNKNOWN,UNKNOWN,,,,,
43,"EECKHOUT, Gerbrand van den",,UNKNOWN,UNKNOWN,,,,,
44,"ELYAS, Isack",,UNKNOWN,UNKNOWN,,,,,
45,"FABRITIUS, Barent",,UNKNOWN,UNKNOWN,,,,,
46,"FABRITIUS, Carel",,UNKNOWN,UNKNOWN,,,,,
47,"FLINCK, Govert",,UNKNOWN,UNKNOWN,,,,,
48,"FLINCK, Govert ",,UNKNOWN,UNKNOWN,,,,,
49,"FLORIS, Frans",,UNKNOWN,UNKNOWN,,,,,
50,"GARDIJN, Guilliam du",,UNKNOWN,UNKNOWN,,,,,
51,"GEEL, Jacob Jacobsz van",,UNKNOWN,UNKNOWN,,,,,
52,"GEEST, Wybrand de",,UNKNOWN,UNKNOWN,,,,,
53,"GOLTZIUS, Hendrick","GOLTIUS, Hendrick | GOLTZ, Hendrick | BRACH, Hendrick van | GOLS, Hendrick | GOLTIUS, Hendrik",Brüggen,Haarlem,1558,1617,Haarlem | Hamburg | Venice | Rome | Naples,https://rkd.nl/explore/artists/32515,
54,"GOSSAERT, Jan",,UNKNOWN,UNKNOWN,,,,,
55,"GOYEN, Jan van",,UNKNOWN,UNKNOWN,,,,,
