id,title,artist_validity,artist1_id,artist2_id,place_of_execution,date_validity,date1,date2,date_avg,date_bin,signature,support,medium,height,width,accession_number,museum,museum_link,rkd_link,image
M001,The Fall of Man,workshop of,123,,UNKNOWN,c. ,1527,1530,1528.5,1525,UNCLEAR,panel,oil,156,121,OS I-311,15,,https://rkd.nl/explore/images/8311,
M002,Twelve members of the Haarlem Brotherhood of Jerusalem pilgrims,,123,,Haarlem,c. ,1528,1530,1529,1525,UNCLEAR,panel,oil,114,275.7,OS I-310,15,https://www.franshalsmuseum.nl/en/art/twelve-members-of-the-haarlem-brotherhood-of-jerusalem-pilgrims/,https://rkd.nl/explore/images/29118,
M003,St. Luke painting the Virgin,,113,,Haarlem,,1532,,1532,1530,YES,panel,oil,168,235,OS I-134,15,https://www.franshalsmuseum.nl/en/art/st-luke-painting-the-virgin/,https://rkd.nl/explore/images/5328,
M004,The adoration of the shepherds,,113,,Haarlem,,1546,,1546,1545,UNCLEAR,panel,oil,260,122.5,OS I-135,15,https://www.mauritshuis.nl/en/our-collection/artworks/51-the-adoration-of-the-shepherds/,https://rkd.nl/explore/images/5345,
M005,The Drapers' altar,,113,,Haarlem,,1546,,1546,1545,UNCLEAR,panel,oil,260,122.5,OS I-136,15,https://www.franshalsmuseum.nl/en/art/drapers-altar/,https://rkd.nl/explore/images/1080,
M006,Triptych with Ecce Homo,,113,,Haarlem,,1559,,1559,1555,YES,panel,,218.5,150,OS I-140,15,https://www.franshalsmuseum.nl/en/art/triptych-with-ecce-homo/,https://rkd.nl/explore/images/5300,
M007,The three youths in the fiery furnace,,84,,Haarlem,,1575,,1575,1575,YES,panel,,222.8,182.2,OS I-281,15,https://www.franshalsmuseum.nl/en/art/the-three-youths-in-the-fiery-furnace/,https://rkd.nl/explore/images/31816,
M008,Banquet of members of the Haarlem Calivermen Civic Guard,,112,,Haarlem,,1583,,1583,1580,UNCLEAR,panel,,135,233,OS I-48,15,https://www.franshalsmuseum.nl/en/art/banquet-of-members-of-the-haarlem-calivermen-civic-guard/,https://rkd.nl/explore/images/743,
M009,Portrait of Dirck Volckertsz Coornhert,copy after,112,,UNKNOWN,c. ,1586,1588,1587,1585,UNCLEAR,panel transferred to canvas,,41.2,29.8,OS I-58,15,,https://rkd.nl/explore/images/24314,
M010,The deluge,,117,,Haarlem,c.,1587,1588,1587.5,1585,UNCLEAR,panel,,35.5,35.5,OS 74-353,15,https://www.franshalsmuseum.nl/en/art/the-deluge/,,
M011,The baptism of Christ,,112,,Haarlem,c. ,1589,,1589,1585,YES,canvas,,62,82.5,OS I-57,15,,https://rkd.nl/explore/images/1159,
M012,Apollo and Diana Punishing Niobe by Killing her Children,,13,,Amsterdam,,1591,,1591,1590,YES,canvas,,203,249.5,KMSsp342,43,https://open.smk.dk/en/artwork/image/KMSsp342,https://rkd.nl/explore/images/286676,
M013,A monk with a beguine,,112,,Haarlem,,1591,,1591,1590,UNCLEAR,canvas,,116,103,OS I-50,15,https://www.franshalsmuseum.nl/en/art/a-monk-and-a-nun/,https://rkd.nl/explore/images/744,
M014,The massacre of the innocents,,112,,Haarlem,,1591,,1591,1590,UNCLEAR,canvas,,268,257,OS I-49,15,https://www.mauritshuis.nl/ontdek-collectie/kunstwerken/22-de-kindermoord-te-bethlehem/,https://rkd.nl/explore/images/1080,
M015,The wedding of Peleus and Thetis,,112,,Haarlem,c.,1592,1593,1592.5,1590,UNCLEAR,canvas,,246,419,OS I-51,15,https://www.franshalsmuseum.nl/en/art/the-wedding-of-peleus-and-thetis/,https://rkd.nl/en/explore/images/749,
M016,The annunciation to the Virgin,,117,,Haarlem,,1595,,1595,1595,UNCLEAR,panel,,39.3,39.3,OS I-253,15,,,
M017,Judah confirming Tamar's innocence,,112,,Haarlem,,1596,,1596,1595,YES,canvas,,44,75,OS I-52,15,,https://rkd.nl/en/explore/images/758,
M018,Banquet of the officers and sub-alterns of the Haarlem Calivermen Civic Guard,,112,,Haarlem,,1599,,1599,1595,YES,panel,,169,223.5,OS I-53,15,,https://rkd.nl/en/explore/images/742,
M019,An Old Woman,,115,,Utrecht,c.,1607,1656,1631.5,1630,UNCLEAR,canvas,,69,56,KMSsp380,43,https://open.smk.dk/en/artwork/image/KMSsp380,,
M020,Banquet of the platoon of the Calivermen Civic Guard,,34,,Haarlem,,1610,,1610,1610,YES,canvas,,193,404,OS 75-337,15,,https://rkd.nl/en/explore/images/36518,
M021,Minerva,,53,,Haarlem,,1611,,1611,1610,UNCLEAR,canvas,,214,120,OS I-95,15,,https://rkd.nl/en/explore/images/672,
M022,Mercury,,53,,Haarlem,,1611,,1611,1610,YES,canvas,,214,120,OS I-96,15,,https://rkd.nl/en/explore/images/671,
M023,Portrait of Jacobus Zaffius,copy after,57,,UNKNOWN,in or shortly after,1611,,1611,1610,UNCLEAR,panel,,54.5,41,OS I-522,15,https://www.franshalsmuseum.nl/en/art/portrait-of-jacobus-hendricksz-zaffius/,https://rkd.nl/en/explore/images/10811,
M024,Portrait of Jacobus Zaffius,,57,,Haarlem,,1611,,1611,1610,UNCLEAR,panel,,54.5,41.5,OS I-522,15,https://www.franshalsmuseum.nl/en/art/portrait-of-jacobus-hendricksz-zaffius/,https://rkd.nl/en/explore/images/10811,
M025,Portrait of a man with a skull,,57,,Haarlem,c.,1611,,1611,1610,NO,panel,,94,72.5,38.6,5,https://barber.org.uk/frans-hals-15815-1666/,https://rkd.nl/explore/images/125046,
M026,Portrait of an unknown woman,,57,,Haarlem,c. ,1611,,1611,1610,NO,panel,,94.2,71.1,267,8,,https://rkd.nl/nl/explore/images/139755,
M027,Jupiter and Antiope,,53,,Haarlem,,1612,,1612,1610,YES,canvas,,122,178,L1098,31,https://www.nationalgallery.org.uk/paintings/hendrik-goltzius-jupiter-and-antiope,https://rkd.nl/explore/images/686,
M028,Mocking of Christ,,115,,Rome,,1612,1616,1614,1610,UNCLEAR,canvas,,210,179,,9,,https://rkd.nl/en/explore/images/240174,
M029,Tityus,,53,,Haarlem,,1613,,1613,1610,YES,canvas,,125,105,OS I-94,15,,https://rkd.nl/en/explore/images/670,
M030,Hercules and Cacus,,53,,Haarlem,,1613,,1613,1610,YES,canvas,,207,142.5,OS 79-1566,15,https://www.mauritshuis.nl/ontdek-collectie/kunstwerken/43-hercules-en-cacus/,https://rkd.nl/en/explore/images/673,
M031,Banquet of the officers of the St George Civic Guard,,57,,Haarlem,,1616,,1616,1615,UNCLEAR,canvas,,175,324,OS I-109,15,,https://rkd.nl/en/explore/images/11127,
