m_number,no_of_grounds,description,colour_code,1,2,3,layer1_colour,layer1_composition,layer2_colour,layer2_composition,layer3_colour,layer3_composition,toplayer_colour,reliability,sample,microscopy,elem_analysis,sample_location,sample_name_1,sample_link_1,sample_name_2,sample_link_2,researchers,source,dttg_new_research,notes
M001,2,"1. Chalk/glue ground
2. Lead white imprimatura",LY-W,,,,LY,Calcium carbonate (chalk),W,Lead white,,,W,1,YES,YES,YES,Frans Hals Museum,A271/1-4,https://rkd.nl/explore/technical/5006045,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M002,2,"1. Chalk/glue ground
2. Lead white imprimatura (12-24 um thick)",LY-W,,,,LY,Calcium carbonate (chalk),W,Lead white,,,W,1,YES,YES,YES,Frans Hals Museum,A85/1-12,https://rkd.nl/explore/technical/5006034,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M003,2,"1. Chalk/glue ground
2. Light grey layer",LY-LG,,,,LY,Calcium carbonate (chalk),LG,"Lead white, black",,,LG,1,YES,YES,YES,Frans Hals Museum,A78/1-5,https://rkd.nl/explore/technical/5005798,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M004,2,"1. Chalk/glue ground
2. Grey imprimatura",LY-G,,,,LY,Calcium carbonate (chalk),G,"Lead white, little black",,,G,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M005,2,"1. Chalk/glue ground (40-100 um thick)
2. Whitish imprimatura (0-16 um thick)",LY-W,,,,LY,Calcium carbonate (chalk),W,"Lead white, little fine (bone?) black",,,W,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M006,2,"1. Chalk/glue ground (at least 150 um thick on central panel)
2. Grey imprimatura (0-15 um thick)",LY-G,,,,LY,Calcium carbonate (chalk),G,"Lead white, little charcoal black, very little red lake",,,LG,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M007,1,1. Chalk/glue ground,LY,,,,LY,Calcium carbonate (chalk),,,,,LY,3,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A168/1-11,https://rkd.nl/explore/technical/5006013,,,"Ella Hendriks, JRJ van Asperen de Boer","Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M008,2,"1. Chalk/glue ground (at least 130 um thick)
2. Grey imprimatura (10-20 um thick)",LY-G,,,,LY,Calcium carbonate (chalk),G,"Lead white, very little fine black, very, very little fine red",,,LG,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M009,2,"1. White ground applied in two layers (total thickness up to 80 um)
2. Pinkish layer",W-P,,,,W,"Lead white, (chalk?), (quartz?)",P,"Lead white, fine red pigment",,,P,2,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,"Unclear whether pinkish layer is second ground, only one sample taken. Up to 10 um thick"
M010,2,"1. Chalk/glue ground (up to 50 um thick)
2. Grey layer (imprimatura) (up to 8 um thick)",LY-G,,,,LY,Calcium carbonate (chalk),G,"Lead white, orange ochre, very little fine black",,,LG,2,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M011,2,"1. Red layer (up to 110 um thick)
2. Grey layer (20-70 um thick)",R-G,,,,R,Red ochre and very little lead white,G,"Lead white, little orange ochre, fine black",,,G,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M012,2,"1. Red layer
2. Dark grey layer",R-DG,,,,R,"Red earth, aluminosilicates, quartz, hematite, lead white, lead soap",DG,"Lead white, carbon black, chalk, quartz, yellow earth",,,DG,1,YES,YES,YES,Statens Museum for Kunst,"81a, 81c, 81d",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,Images shared by Anne Haack Christensen and David Buti
M013,1,1. Red ground,R,,,,R,"Red ochre, lead white, little organic red, (quartz?)",,,,,R,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M014,1,1. Light grey ground (up to 140 um thick),LG,,,,LG,"Lead white, lamp black, brown ochre, little organic red, and very little blue (probably smalt)",,,,,LG,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M015,1,"1. Red ground (two wet-in-wet layers, top slightly lighter) (total up to 200 um thick)",R,,,,R,"Fine red ochre, coarse lead white, a little organic red",,,,,R,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,First layer more transparent and slightly darker- is this a single or double ground? Confirm with photos
M016,2,"1. Chalk/glue ground
2. Light grey imprimatura",LY-LG,,,,LY,Calcium carbonate (chalk),LG,"Lead white, lots of fine black, a few red particles",,,LG,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M017,2,"1. Grey layer
2. Light grey layer",G-LG,,,,G,"Lead white, chalk (?), a little fine black and red/orange ochre, very little brown earth and blue (probably smalt)",LG,"Lead white, very fine black, very little fine red/orange ochre",,,LG,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M018,2,"1. Chalk/glue ground
2. Lead white imprimatura",LY-W,,,,LY,Calcium carbonate (chalk),W,"Lead white, very fine black, very little fine red/orange ochre",,,W,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M019,2,"1. Orange layer
2. Light warm brownish-grey layer",O-LG,,,,O,"Red earth, aluminosilicates, umber, quartz",LG,"Lead white, yellow earth, manganese oxide, carbon black",,,LG,1,YES,YES,YES,Statens Museum for Kunst,"269a, 269b",,,,David Buti,SMK Kress/National Gallery spreadsheet (unpublished),,"Image shared by Anne Haack Christensen, SMK

Image of cross-section shows relatively thin layers of orangey-red with multicoloured particles, followed by pale brown-grey

Lower red layer has medium-sized bright red, black, translucent, and dark red particles--possibly red lead, hematite, carbon black, and quartz

Upper grey layer has white and black particles, as well as brown and yellow. Likely chalk, lead white, carbon black, and brown and yellow earths "
M020,1,1. Grey ground (up to 75 um thick),G,,,,G,"Lead white, chalk (?), fine (lamp) black and a little brown/yellow earth pigment",,,,,G,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M021,1,"1. Cool grey ground applied in 3 wet-in-wet layers, the middle one slightly darker",G,,,,G,"Lead white, charcoal black",,,,,G,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M022,1,"1. Cool grey ground applied in 2 layers, the top one slightly darker",G,,,,G,"Lead white, charcoal black",,,,,G,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M023,1,"1. Whitish pink ground applied in two layers
Layer of medium, probably oil",P,,,,P,"Lead white, chalk, a little red ochre, fine black, very little smalt, large particles of quartz",,,,,P,1,YES,YES,YES,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,Oil isolation layer
